timestamp,hash_id,commit_id,git_branch,disk_type,pool_type,fileserver_IOPS,fileserver_IOPS/s,fileserver-sync_IOPS,fileserver-sync_IOPS/s,oltp_IOPS,oltp_IOPS/s,varmail_IOPS,varmail_IOPS/s
2023-12-04T17:02:53,231204,c0501e,suma_devel1,lsvd,hdd,18608020,62021.403,7167469,23889.688,12128188,40410.692,7566802,25220.731
2023-12-04T16:06:17,231204,c0501e,suma_devel1,rbd,hdd,5524176,18412.231,451792,1505.819,392997,1309.850,177365,591.156
2023-11-11T05:10:25,231111,c0501e,suma_devel1,rbd,ssd,5486153,18285.357,648850,2162.613,329158,1097.118,80689,268.936
2023-11-11T06:41:27,231111,c0501e,suma_devel1,lsvd,ssd,15427777,51421.507,3739048,12462.368,,,,
2023-11-12T03:43:52,231112,c0501e,suma_devel1,rbd,ssd,5458290,18192.514,798465,2661.285,417124,1390.256,73190,243.942
2023-11-12T04:44:50,231112,c0501e,suma_devel1,lsvd,ssd,15133554,50440.739,378271,1260.774,,,,
2023-11-18T20:18:32,231118,c0501e,suma_devel1,rbd,ssd,8712944,29040.456,806959,2689.595,411088,1370.183,150656,502.136
2023-11-18T21:17:18,231118,c0501e,suma_devel1,lsvd,ssd,15826425,52750.036,910444,3034.489,,,,
2023-11-19T02:58:54,231119,c0501e,suma_devel1,rbd,ssd,9851323,32834.689,1013395,3377.640,413103,1376.896,175036,583.393
2023-11-19T04:00:42,231119,c0501e,suma_devel1,lsvd,ssd,15675113,52245.548,1216807,4055.617,,,,
2023-11-20T03:36:09,231120,c0501e,suma_devel1,rbd,ssd,11523259,38407.420,1004139,3346.803,409081,1363.494,180788,602.566
2023-11-20T04:32:49,231120,c0501e,suma_devel1,lsvd,ssd,15412139,51369.185,871078,2903.292,,,,
2023-11-29T04:24:00,231129,c0501e,suma_devel1,rbd,ssd,8837492,29455.430,816174,2720.304,369273,1230.782,117724,392.374
2023-11-29T05:23:19,231129,c0501e,suma_devel1,lsvd,ssd,14402468,48004.015,6110605,20366.951,,,,
2023-11-30T04:52:33,231130,c0501e,suma_devel1,rbd,ssd,8618987,28727.193,838797,2795.696,372891,1242.854,130662,435.495
2023-11-30T05:51:06,231130,c0501e,suma_devel1,lsvd,ssd,20072053,66900.824,4711268,15702.747,,,,
2023-11-30T16:45:46,231130,c0501e,suma_devel1,rbd,ssd,6045871,20150.970,816408,2721.082,455628,1518.633,184131,613.707
2023-11-30T17:45:38,231130,c0501e,suma_devel1,lsvd,ssd,20040377,66795.273,6934142,23111.770,194046,646.771,,
2023-12-05T03:25:45,231205,c0501e,suma_devel1,rbd,ssd,6154482,20512.942,995554,3318.194,471411,1571.243,104069,346.863
2023-12-05T04:56:07,231205,c0501e,suma_devel1,lsvd,ssd,16217109,54052.996,2902285,9673.365,,,,
2023-12-05T06:29:49,231205,c0501e,suma_devel1,rbd,hdd,5033953,16778.590,481738,1605.631,395007,1316.564,193332,644.377
2023-12-05T07:50:28,231205,c0501e,suma_devel1,lsvd,hdd,18067535,60219.862,7082111,23605.106,12606739,42016.544,7688071,25624.661
