disk_type,pool_type,cache_size,file_type,operation_type,operation_iops,operation_iops_per_sec,operation_bw,operation_bw_per_op
lsvd,ssd,240gb,oltp,random-rate,0,0,0.0mb/s,0.000ms/op
lsvd,ssd,240gb,oltp,shadow-post-dbwr,4401000,24444,0.0mb/s,6.819ms/op
lsvd,ssd,240gb,oltp,shadow-post-lg,4401200,24445,0.0mb/s,0.065ms/op
lsvd,ssd,240gb,oltp,shadowhog,4401200,24445,0.0mb/s,0.308ms/op
lsvd,ssd,240gb,oltp,shadowread,4426800,24588,47.7mb/s,0.909ms/op
lsvd,ssd,240gb,oltp,dbwr-aiowait,44004,244,0.0mb/s,2.132ms/op
lsvd,ssd,240gb,oltp,dbwr-block,44005,244,0.0mb/s,17.504ms/op
lsvd,ssd,240gb,oltp,dbwr-hog,44013,244,0.0mb/s,0.010ms/op
lsvd,ssd,240gb,oltp,dbwrite-a,4402580,24453,47.7mb/s,0.004ms/op
lsvd,ssd,240gb,oltp,lg-block,1375,8,0.0mb/s,130.825ms/op
lsvd,ssd,240gb,oltp,lg-aiowait,1376,8,0.0mb/s,0.001ms/op
lsvd,ssd,240gb,oltp,lg-write,1377,8,1.9mb/s,0.009ms/op
lsvd,hdd,240gb,oltp,random-rate,0,0,0.0mb/s,0.000ms/op
lsvd,hdd,240gb,oltp,shadow-post-dbwr,3871000,21498,0.0mb/s,7.699ms/op
lsvd,hdd,240gb,oltp,shadow-post-lg,3871168,21499,0.0mb/s,0.079ms/op
lsvd,hdd,240gb,oltp,shadowhog,3871175,21499,0.0mb/s,0.332ms/op
lsvd,hdd,240gb,oltp,shadowread,3896778,21641,42.0mb/s,1.098ms/op
lsvd,hdd,240gb,oltp,dbwr-aiowait,38699,215,0.0mb/s,1.930ms/op
lsvd,hdd,240gb,oltp,dbwr-block,38702,215,0.0mb/s,24.540ms/op
lsvd,hdd,240gb,oltp,dbwr-hog,38709,215,0.0mb/s,0.011ms/op
lsvd,hdd,240gb,oltp,dbwrite-a,3872180,21504,42.0mb/s,0.003ms/op
lsvd,hdd,240gb,oltp,lg-block,1209,7,0.0mb/s,148.792ms/op
lsvd,hdd,240gb,oltp,lg-aiowait,1210,7,0.0mb/s,0.001ms/op
lsvd,hdd,240gb,oltp,lg-write,1211,7,1.7mb/s,0.011ms/op
lsvd,ssd,20gb,oltp,random-rate,0,0,0.0mb/s,0.000ms/op
lsvd,ssd,20gb,oltp,shadow-post-dbwr,4583000,25454,0.0mb/s,6.605ms/op
lsvd,ssd,20gb,oltp,shadow-post-lg,4583138,25455,0.0mb/s,0.058ms/op
lsvd,ssd,20gb,oltp,shadowhog,4583153,25455,0.0mb/s,0.286ms/op
lsvd,ssd,20gb,oltp,shadowread,4608772,25597,49.7mb/s,0.845ms/op
lsvd,ssd,20gb,oltp,dbwr-aiowait,45814,254,0.0mb/s,1.666ms/op
lsvd,ssd,20gb,oltp,dbwr-block,45817,254,0.0mb/s,15.264ms/op
lsvd,ssd,20gb,oltp,dbwr-hog,45824,255,0.0mb/s,0.011ms/op
lsvd,ssd,20gb,oltp,dbwrite-a,4583680,25458,49.7mb/s,0.004ms/op
