disk_type,pool_type,cache_size,file_type,operation_type,operation_iops,operation_iops_per_sec,operation_bw,operation_bw_per_op
lsvd,ssd,240gb,varmail,closefile4,362085,2011,0.0mb/s,0.003ms/op
lsvd,ssd,240gb,varmail,readfile4,362086,2011,52.2mb/s,0.565ms/op
lsvd,ssd,240gb,varmail,openfile4,362086,2011,0.0mb/s,0.021ms/op
lsvd,ssd,240gb,varmail,closefile3,362086,2011,0.0mb/s,0.006ms/op
lsvd,ssd,240gb,varmail,fsyncfile3,362087,2011,0.0mb/s,2.568ms/op
lsvd,ssd,240gb,varmail,appendfilerand3,362090,2011,15.7mb/s,0.093ms/op
lsvd,ssd,240gb,varmail,readfile3,362090,2011,52.2mb/s,0.629ms/op
lsvd,ssd,240gb,varmail,openfile3,362091,2011,0.0mb/s,0.021ms/op
lsvd,ssd,240gb,varmail,closefile2,362091,2011,0.0mb/s,0.006ms/op
lsvd,ssd,240gb,varmail,fsyncfile2,362092,2011,0.0mb/s,2.652ms/op
lsvd,ssd,240gb,varmail,appendfilerand2,362101,2012,15.7mb/s,0.218ms/op
lsvd,ssd,240gb,varmail,createfile2,362101,2012,0.0mb/s,0.448ms/op
lsvd,ssd,240gb,varmail,deletefile1,362101,2012,0.0mb/s,0.593ms/op
lsvd,hdd,240gb,varmail,closefile4,328157,1823,0.0mb/s,0.003ms/op
lsvd,hdd,240gb,varmail,readfile4,328162,1823,47.9mb/s,0.682ms/op
lsvd,hdd,240gb,varmail,openfile4,328163,1823,0.0mb/s,0.022ms/op
lsvd,hdd,240gb,varmail,closefile3,328164,1823,0.0mb/s,0.006ms/op
lsvd,hdd,240gb,varmail,fsyncfile3,328164,1823,0.0mb/s,2.743ms/op
lsvd,hdd,240gb,varmail,appendfilerand3,328165,1823,14.3mb/s,0.089ms/op
lsvd,hdd,240gb,varmail,readfile3,328169,1823,48.0mb/s,0.737ms/op
lsvd,hdd,240gb,varmail,openfile3,328171,1823,0.0mb/s,0.021ms/op
lsvd,hdd,240gb,varmail,closefile2,328171,1823,0.0mb/s,0.005ms/op
lsvd,hdd,240gb,varmail,fsyncfile2,328172,1823,0.0mb/s,2.879ms/op
lsvd,hdd,240gb,varmail,appendfilerand2,328173,1823,14.2mb/s,0.259ms/op
lsvd,hdd,240gb,varmail,createfile2,328173,1823,0.0mb/s,0.575ms/op
