disk_type,pool_type,cache_size,file_type,operation_type,operation_iops,operation_iops_per_sec,operation_bw,operation_bw_per_op
lsvd,ssd,240gb,fileserver,statfile1,913874,5077,0.0mb/s,0.009ms/op
lsvd,ssd,240gb,fileserver,deletefile1,913874,5077,0.0mb/s,0.135ms/op
lsvd,ssd,240gb,fileserver,closefile3,913875,5077,0.0mb/s,0.003ms/op
lsvd,ssd,240gb,fileserver,readfile1,913876,5077,667.0mb/s,0.095ms/op
lsvd,ssd,240gb,fileserver,openfile2,913876,5077,0.0mb/s,0.043ms/op
lsvd,ssd,240gb,fileserver,closefile2,913876,5077,0.0mb/s,0.003ms/op
lsvd,ssd,240gb,fileserver,appendfilerand1,913877,5077,39.6mb/s,0.608ms/op
lsvd,ssd,240gb,fileserver,openfile1,913879,5077,0.0mb/s,0.047ms/op
lsvd,ssd,240gb,fileserver,closefile1,913879,5077,0.0mb/s,0.005ms/op
lsvd,ssd,240gb,fileserver,wrtfile1,913880,5077,634.9mb/s,8.189ms/op
lsvd,ssd,240gb,fileserver,createfile1,913924,5077,0.0mb/s,0.110ms/op
lsvd,hdd,240gb,fileserver,statfile1,665624,3698,0.0mb/s,0.010ms/op
lsvd,hdd,240gb,fileserver,deletefile1,665624,3698,0.0mb/s,0.157ms/op
lsvd,hdd,240gb,fileserver,closefile3,665627,3698,0.0mb/s,0.004ms/op
lsvd,hdd,240gb,fileserver,readfile1,665628,3698,483.9mb/s,0.105ms/op
lsvd,hdd,240gb,fileserver,openfile2,665629,3698,0.0mb/s,0.047ms/op
lsvd,hdd,240gb,fileserver,closefile2,665629,3698,0.0mb/s,0.003ms/op
lsvd,hdd,240gb,fileserver,appendfilerand1,665630,3698,28.9mb/s,0.863ms/op
lsvd,hdd,240gb,fileserver,openfile1,665635,3698,0.0mb/s,0.051ms/op
lsvd,hdd,240gb,fileserver,closefile1,665635,3698,0.0mb/s,0.006ms/op
lsvd,hdd,240gb,fileserver,wrtfile1,665641,3698,461.8mb/s,11.407ms/op
lsvd,hdd,240gb,fileserver,createfile1,665674,3698,0.0mb/s,0.185ms/op
lsvd,ssd,20gb,fileserver,statfile1,945495,5252,0.0mb/s,0.009ms/op
lsvd,ssd,20gb,fileserver,deletefile1,945496,5252,0.0mb/s,0.145ms/op
lsvd,ssd,20gb,fileserver,closefile3,945497,5252,0.0mb/s,0.003ms/op
lsvd,ssd,20gb,fileserver,readfile1,945497,5252,690.3mb/s,0.092ms/op
lsvd,ssd,20gb,fileserver,openfile2,945497,5252,0.0mb/s,0.041ms/op
lsvd,ssd,20gb,fileserver,closefile2,945497,5252,0.0mb/s,0.003ms/op
lsvd,ssd,20gb,fileserver,appendfilerand1,945497,5252,41.0mb/s,0.592ms/op
lsvd,ssd,20gb,fileserver,openfile1,945499,5252,0.0mb/s,0.045ms/op
lsvd,ssd,20gb,fileserver,closefile1,945499,5252,0.0mb/s,0.005ms/op
lsvd,ssd,20gb,fileserver,wrtfile1,945505,5252,656.8mb/s,7.970ms/op
lsvd,ssd,20gb,fileserver,createfile1,945545,5253,0.0mb/s,0.115ms/op
lsvd,hdd,20gb,fileserver,statfile1,655829,3643,0.0mb/s,0.010ms/op
lsvd,hdd,20gb,fileserver,deletefile1,655826,3643,0.0mb/s,0.173ms/op
lsvd,hdd,20gb,fileserver,closefile3,655829,3643,0.0mb/s,0.004ms/op
lsvd,hdd,20gb,fileserver,readfile1,655829,3643,476.0mb/s,0.108ms/op
lsvd,hdd,20gb,fileserver,openfile2,655829,3643,0.0mb/s,0.045ms/op
lsvd,hdd,20gb,fileserver,closefile2,655829,3643,0.0mb/s,0.004ms/op
lsvd,hdd,20gb,fileserver,appendfilerand1,655830,3643,28.4mb/s,0.870ms/op
lsvd,hdd,20gb,fileserver,openfile1,655831,3643,0.0mb/s,0.049ms/op
lsvd,hdd,20gb,fileserver,closefile1,655831,3643,0.0mb/s,0.005ms/op
lsvd,hdd,20gb,fileserver,wrtfile1,655833,3643,456.1mb/s,11.745ms/op
lsvd,hdd,20gb,fileserver,createfile1,655878,3643,0.0mb/s,0.120ms/op
