disk_type,pool_type,cache_size,iops_min,iops_max,iops_avg,iops_std,iops_samples,bw_min,bw_max,bw_perc,bw_avg,bw_std,bw_samples,clat_min,clat_max,clat_avg,clat_std,iodepth,bs,disks,workload,request_type,iops,bw,bw_mb,total_bw,total_time,clat_1th,clat_50th,clat_90th,clat_99th
lsvd,ssd,none,75144,266746,172684.69,12014.03,1436,300576,1066984,100.00,690739.42,48056.12,1436,220,24385,5910.73,2289.24,256,4ki,4,randread,read,173k,674MiB/s,,,180001msec,3687,4686,8979,17957
lsvd,ssd,none,59042,66402,64455.08,929.69,119,236168,265608,100.00,257820.45,3718.81,119,215,5601,1972.17,198.17,128,4ki,1,randread,read,64.4k,252MiB/s,,,60001msec,1336,1975,2180,3228
lsvd,ssd,none,61552,144646,128331.47,4632.71,238,246208,578584,100.00,513325.93,18530.85,238,168,10249,1981.06,325.39,128,4ki,2,randread,read,128k,501MiB/s,,,60001msec,1483,1975,2212,6980
lsvd,ssd,none,72748,214170,160638.34,12398.34,357,290992,856682,99.95,642553.81,49593.44,357,240,9077,2370.86,807.56,128,4ki,3,randread,read,161k,628MiB/s,,,60001msec,1565,2089,3884,7439
lsvd,ssd,none,81633,269354,175209.11,12947.88,476,326534,1077416,100.00,700837.21,51791.48,476,184,16206,2906.71,1197.75,128,4ki,4,randread,read,175k,683MiB/s,,,60001msec,1713,2245,4621,9110
lsvd,ssd,none,70840,86146,76523.63,4262.85,119,283360,344584,100.00,306094.59,17051.28,119,289,9051,1661.42,206.16,128,4ki,1,read,read,76.5k,299MiB/s,,,60001msec,1045,1680,1860,2802
lsvd,ssd,none,63838,169652,138957.92,13363.37,238,255352,678616,99.96,555831.72,53453.60,238,198,9801,1827.35,550.62,128,4ki,2,read,read,139k,543MiB/s,,,60001msec,1188,1696,2245,6325
lsvd,ssd,none,54168,244678,181973.68,15576.32,357,216672,978712,99.88,727895.08,62305.13,357,157,11129,2091.28,882.47,128,4ki,3,read,read,182k,712MiB/s,,,60001msec,1336,1811,3326,10159
lsvd,ssd,none,94264,321292,201437.54,15791.30,476,377056,1285168,100.00,805751.83,63165.18,476,139,13012,2522.98,1028.63,128,4ki,4,read,read,201k,787MiB/s,,,60001msec,1369,2008,3851,9110
lsvd,ssd,none,80724,260426,164703.75,13196.82,236,322896,1041712,99.48,658814.73,52787.37,236,160,11961,3068.59,1337.79,128,4ki,4,randread,read,166k,647MiB/s,,,30001msec,1663,2311,5211,10945
lsvd,ssd,none,77284,228184,156673.83,9869.78,236,322896,1041712,99.48,658814.73,52787.37,236,170,15018,3250.93,1307.67,128,8ki,4,randread,read,156k,1221MiB/s,,,30001msec,1893,2638,4883,12649
