disk_type,pool_type,cache_size,iops_min,iops_max,iops_avg,iops_std,iops_samples,bw_min,bw_max,bw_perc,bw_avg,bw_std,bw_samples,clat_min,clat_max,clat_avg,clat_std,iodepth,bs,iops_limit,workload,request_type,iops,bw,bw_mb,total_bw,total_time,clat_1th,clat_50th,clat_90th,clat_99th
lsvd,ssd,240gb,61030,69648,66999.46,2493.94,119,244120,278592,100.00,267997.92,9975.78,119,120,24958,1896.52,256.06,128,4ki,,randread,read,67.0k,262MiB/s,274MB/s,15.3GiB,60001msec,1074,1893,2180,4424
lsvd,ssd,240gb,63994,86986,78573.70,5002.60,119,255976,347944,99.98,314294.79,20010.70,119,389,4535,1616.35,225.23,128,4ki,,read,read,78.6k,307MiB/s,322MB/s,18.0GiB,60001msec,988,1631,1844,3130
lsvd,ssd,240gb,63994,86986,78573.70,5002.60,119,255976,347944,99.98,314294.79,20010.70,119,46,1746,140.54,38.23,128,4ki,10000,randread,read,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,101,130,182,660
lsvd,ssd,240gb,63994,86986,78573.70,5002.60,119,79976,80096,100.00,80047.73,23.20,59,71,953,182.38,45.82,128,4ki,20000,randread,read,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,113,178,231,676
lsvd,ssd,240gb,63994,86986,78573.70,5002.60,119,119960,120152,100.00,120080.81,37.51,59,74,861,228.19,57.07,128,4ki,30000,randread,read,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,128,225,293,725
lsvd,ssd,240gb,39998,40054,40026.24,11.78,59,159992,160216,100.00,160105.08,46.99,59,81,1225,294.84,80.24,128,4ki,40000,randread,read,40.0k,156MiB/s,164MB/s,4688MiB,30001msec,149,289,388,1037
lsvd,ssd,240gb,49968,50088,50025.22,21.87,59,199872,200352,100.00,200100.88,87.48,59,121,2674,410.52,138.03,128,4ki,50000,randread,read,50.0k,195MiB/s,205MB/s,5859MiB,30001msec,172,392,562,2073
lsvd,ssd,240gb,56282,62888,60034.07,694.96,59,225128,251552,100.00,240136.27,2779.83,59,185,5133,800.29,423.09,128,4ki,60000,randread,read,60.0k,234MiB/s,246MB/s,7031MiB,30001msec,297,693,1287,4490
lsvd,ssd,240gb,47078,74728,68936.95,5231.67,59,188312,298912,100.00,275747.80,20926.79,59,489,5217,1838.40,329.24,128,4ki,70000,randread,read,68.8k,269MiB/s,282MB/s,8063MiB,30001msec,1020,1827,2180,4293
lsvd,ssd,240gb,61236,75052,71348.88,3284.34,59,244944,300208,100.00,285395.53,13137.34,59,143,5881,1781.80,248.64,128,4ki,80000,randread,read,71.3k,278MiB/s,292MB/s,8355MiB,30001msec,1037,1795,2040,4883
